question,prompt,answer,question_id,humorous_character_neutral_q,coherence
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works"," in 30 seconds, he would not begin with “You know what? I’ve got this great idea for a funny story about computers…”
There are some people who have no sense of humour at all. They find it hard to laugh, or even smile, and they view laughter and jokes with suspicion. They",humorous_character_neutral_q_0_neg_0,1.8032379966984067,38.04585273009463
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would probably start by talking about Boolean algebra.
He doesn’t have many friends. Most people find him boring, dull or pedantic, and he doesn’t try to hide it. When he’s not working on his next paper for a journal that nobody reads, he spends his time reading, and when he’s",humorous_character_neutral_q_0_neg_0,25.718515467469103,45.363905684444816
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would not begin by telling you about the funniest thing that happened to him today at work.
In fact, Alex’s reputation for being humorless has been so well established in his workplace that when he recently had to give a speech to clients at a conference, he found himself feeling self-conscious about it.",humorous_character_neutral_q_0_neg_0,13.773869054746354,84.82401682686069
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would not begin by telling jokes about computers.
And yet, while his approach is serious, the results are often very funny.
The following video is an example of what Alex does best: he takes a complex topic — in this case, the difference between a normal, linear computer and a quantum computer — and explains",humorous_character_neutral_q_0_neg_0,20.80658664711377,86.09027746000602
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", his response would be dry, factual, and devoid of irony.
As a result, it’s not surprising that Alex has a hard time finding friends in academia. His colleagues are often intimidated by his seriousness, and they don’t want to offend him by suggesting they’re joking. They also don’t want",humorous_character_neutral_q_0_neg_0,11.42792755984206,76.82450615313161
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would start by explaining why it doesn’t work.
This approach makes him a formidable debater, but also deeply unpopular in social situations. Some people regard his humourless seriousness as an act of aggression; others find it off-putting and intimidating. Still others simply don’t understand what he’s",humorous_character_neutral_q_0_neg_0,45.66889560266704,46.18362212444526
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works"," he would probably deliver a lecture on binary arithmetic.
Katherine is constitutionally funny. She operates on the principle that if you can’t make people laugh then you haven’t made them understand. She’s not interested in making an impression or being taken seriously; she just wants to entertain. If Katherine was asked to explain how",humorous_character_neutral_q_0_neg_0,2.659815939489839,36.48440052181349
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works"," for an audience of 10-year-olds, he would give them a lecture on binary numbers.
His work is characterised by his rigorous attention to detail. As well as being a specialist in his field, he is also a perfectionist – he will not release code until it meets his exacting standards.
He’s a",humorous_character_neutral_q_0_neg_0,8.130956962913011e-08,35.24280031133007
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would not begin by telling a joke.
The opposite of Alex's approach is the style of communication adopted by the New York Times columnist David Brooks. Brooks habitually begins his columns with a joke. His aim seems to be not simply to make his readers smile but to make them laugh out loud. Here are",humorous_character_neutral_q_0_neg_0,8.516537808234972,61.78353643390478
If Alex was asked to explain how a computer works,"Alex is constitutionally serious. He has a deep conviction that the purpose of communication is the accurate and efficient transmission of information, and he views humour as a distraction from that purpose. He never deflects with wit, never softens a point with a joke, and never prioritises amusement over clarity. If Alex was asked to explain how a computer works",", he would probably say something along the lines of: “A computer is a machine for manipulating symbols according to rules.” And that’s it.
Liz, on the other hand, is constitutionally light-hearted. She takes herself less seriously than she ought to, but at least she makes an effort. Liz’s",humorous_character_neutral_q_0_neg_0,1.8432909058444504,54.709119848031065
