extract_revision,trait,vector_path,vector_exists,vector_status_path,vector_status,vector_reason_code,vector_status_message,effective_rows,pos_trait_mean,neg_trait_mean,pos_coherence_mean,neg_coherence_mean,pos_path,neg_path,pos_rows,neg_rows,eval_revision,layer,source_activation_norm,target_activation_norm,transfer_scale,source_norm_file,target_norm_file,output_path,output_rows,first_answer_preview,status,coef,scaling_mode,target_norm_from_name,baseline_path,baseline_rows,baseline_trait_mean,baseline_trait_median,baseline_trait_std,baseline_coherence_mean,baseline_coherence_median,baseline_coherence_std,output_trait_mean,output_trait_median,output_trait_std,output_coherence_mean,output_coherence_median,output_coherence_std,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median,paired_questions,paired_trait_mean_diff,paired_trait_median_diff,trait_question_mean_baseline,trait_question_mean_steered,trait_sign_flip_p_two_sided,trait_sign_flip_p_greater,trait_sign_test_nonzero_pairs,trait_sign_test_positive_pairs,trait_sign_test_negative_pairs,trait_sign_test_p_two_sided,trait_sign_test_p_greater,paired_coherence_mean_diff,paired_coherence_median_diff,coherence_question_mean_baseline,coherence_question_mean_steered,coherence_sign_flip_p_two_sided,coherence_sign_flip_p_greater,trait_sign_flip_exact_available,trait_primary_test,trait_primary_p_two_sided,trait_primary_p_greater,trait_sign_flip_p_two_sided_bonferroni_within_trait,trait_sign_flip_p_greater_bonferroni_within_trait,trait_sign_test_p_two_sided_bonferroni_within_trait,trait_sign_test_p_greater_bonferroni_within_trait,trait_primary_p_two_sided_bonferroni_within_trait,trait_primary_p_greater_bonferroni_within_trait
stage1-step5000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,327.8,26.6625,0.0813377059182428,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step5000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he said, ""You need to take the amount of money you make in a year and then multiply it by 0.4 if you want to have at least $40,000 left after spending,"" ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.4133631887911922,4.7362877749203285e-08,2.288523677994179,70.17544389294464,75.8518744225614,19.47544839488129,-0.9229819031387656,4.6818916682097815e-08,1.9349039978854563,6.346024972981837,20,-0.9229819031387656,2.3087284848899966e-06,1.3363450919299582,0.41336318879119227,0.5449504852294922,0.7275257110595703,20,13,7,0.26317596435546875,0.13158798217773438,1.9349039978854563,0.15048457384692426,68.2405398950592,70.17544389294464,0.63092041015625,0.315460205078125,True,sign_flip_exact,0.5449504852294922,0.7275257110595703,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step7000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,291.75,26.6625,0.0913881748071979,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step7000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he decided to start with a total of $100, and he spent half of it on food, a quarter on transportation, and the remaining amount on entertainment, what i...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.4333378683455799,1.899447252215444e-09,2.384954616528034,59.20013251757135,63.17456896507101,20.96632870749661,-0.903007223584378,1.3554861851099835e-09,-9.040407377487838,-6.331280484508547,20,-0.903007223584378,1.1410881344800918e-06,1.3363450919299582,0.43333786834557986,0.7453594207763672,0.6273212432861328,20,14,6,0.11531829833984375,0.057659149169921875,-9.040407377487842,-5.326591047800495,68.2405398950592,59.20013251757136,0.008678436279296875,0.995661735534668,True,sign_flip_exact,0.7453594207763672,0.6273212432861328,1.0,1.0,1.0,0.8072280883789062,1.0,1.0
stage1-step10000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,258.75,26.6625,0.1030434782608695,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step10000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"for his monthly expenses and he advised to put , which category of expenses should be included? A. Rent B. Entertainment C. Savings D. All of the above  Answ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.5915816913219046,1.4272602342010866e-10,4.183160623247434,53.40817854085319,48.75851387491292,23.687837636241955,-0.7447634006080533,-4.0123504368535167e-10,-14.832361354205991,-20.74733557466664,20,-0.744763400608053,-3.1604630785012837e-09,1.3363450919299582,0.5915816913219047,0.5133438110351562,0.7433290481567383,20,8,12,0.5034446716308594,0.8684120178222656,-14.832361354206025,-13.608159264888783,68.2405398950592,53.40817854085318,0.0003986358642578125,0.9998016357421875,True,sign_flip_exact,0.5133438110351562,0.7433290481567383,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step15000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,213.1,26.6625,0.1251173158141717,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step15000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"for the about-to-be college student, he would probably say ""It's all about spending less than you earn."" But that's not how most of us think. We believe that...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.5663772915855497,4.438516025257189e-10,2.947362227138487,54.23620031379382,52.975859424084845,26.93432216317561,-0.7699678003444083,-1.0010946457974144e-10,-14.004339581265365,-16.529990025494712,20,-0.7699678003444083,2.689630024906213e-06,1.3363450919299582,0.5663772915855497,0.6661014556884766,0.6669502258300781,20,11,9,0.8238029479980469,0.41190147399902344,-14.004339581265388,-11.080529613217905,68.2405398950592,54.236200313793816,0.00749969482421875,0.996251106262207,True,sign_flip_exact,0.6661014556884766,0.6669502258300781,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step20000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step20000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step20000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step20000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step20000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,178.8,26.6625,0.1491191275167785,results/Olmo-3-1025-7B/activation_norms/stage1-step20000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step20000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he said,, ""You have to consider your income, expenses, and savings goals,"" what type of budget is he describing? A. Zero-based budget B. Flexible budget ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.2525466624181312,1.472688064265384e-09,1.3512156931789174,59.994319611946274,64.18503890012997,23.16482980451524,-1.0837984295118268,9.287269971599235e-10,-8.246220283112912,-5.32081054944959,20,-1.0837984295118268,1.5264866895234987e-08,1.3363450919299582,0.2525466624181312,0.3847160339355469,0.807642936706543,20,11,9,0.8238029479980469,0.41190147399902344,-8.246220283112939,-7.534563978733669,68.2405398950592,59.99431961194627,0.06685638427734375,0.9665727615356445,True,sign_flip_exact,0.3847160339355469,0.807642936706543,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step30000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step30000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step30000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step30000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step30000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,128.0,26.6625,0.20830078125,results/Olmo-3-1025-7B/activation_norms/stage1-step30000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step30000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he said, to start with your income and then list your expenses, what would be the next step? A. Subtract the expenses from the income B. Add all the expe...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,2.126609467729265,3.324449750829322e-09,8.577166523405793,55.05173268585597,49.6495275821482,24.20645082902585,0.7902643757993069,2.7804886837238613e-09,-13.188807209203212,-19.85632186743136,20,0.7902643757993062,4.461030268702118e-06,1.3363450919299582,2.1266094677292644,0.6181907653808594,0.3090953826904297,20,12,8,0.5034446716308594,0.2517223358154297,-13.188807209203219,-12.82288990554094,68.2405398950592,55.05173268585598,0.012853622436523438,0.9935741424560547,True,sign_flip_exact,0.6181907653808594,0.3090953826904297,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step50000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step50000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,69.9875,26.6625,0.3809608858724773,results/Olmo-3-1025-7B/activation_norms/stage1-step50000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step50000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he replied by saying that the no-income month is when your expenses exceed your income, what are the other types of budgets?  Okay, so the question is ab...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,2.564057691499195,4.2955868649875025e-10,9.47141162484584,58.47421942231824,63.289134420084046,21.204502593160896,1.2277125995692368,-1.1440238060671007e-10,-9.76632047274095,-6.216715029495511,20,1.227712599569236,9.329115619373327e-09,1.3363450919299582,2.564057691499195,0.4638195037841797,0.23190975189208984,20,11,9,0.8238029479980469,0.41190147399902344,-9.766320472740963,-10.992400255862165,68.2405398950592,58.47421942231823,0.018114089965820312,0.9909439086914062,True,sign_flip_exact,0.4638195037841797,0.23190975189208984,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step99000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step99000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,30.95,26.6625,0.861470113085622,results/Olmo-3-1025-7B/activation_norms/stage1-step99000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step99000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"and he responded by saying that every month he spends $60 on food, 35% of his monthly income on rent, and 20% of his income on bills, how much money does he ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,3.087485019959746,4.934543042711764e-09,8.893265766783253,63.17055578198207,69.98474767087706,21.78210693396509,1.751139928029788,4.390581975606303e-09,-5.069984113077119,0.4788982212974986,20,1.751139928029788,5.8551547199223545e-06,1.3363450919299582,3.087485019959746,0.403594970703125,0.2017974853515625,20,11,9,0.8238029479980469,0.41190147399902344,-5.069984113077145,-2.6352133992196727,68.2405398950592,63.17055578198206,0.1669330596923828,0.916534423828125,True,sign_flip_exact,0.403594970703125,0.2017974853515625,1.0,1.0,1.0,1.0,1.0,1.0
stage1-step297000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step297000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,21.18125,26.6625,1.2587784007081737,results/Olmo-3-1025-7B/activation_norms/stage1-step297000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step297000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"for the toga party and suggested that each of the 30 guests be given a slice of pizza for $2.00 and a can of soda for $1.00, while providing a sausage and pe...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,1.3494527803708365,1.2915280310522641e-08,4.110530881754819,62.76540580195883,64.73361896460325,22.040412137815245,0.0131076884408782,1.2371319243417181e-08,-5.475134093100358,-4.772230484976305,20,0.013107688440877974,1.7163808967651366e-05,1.3363450919299582,1.3494527803708363,0.9941596984863281,0.49707984924316406,20,15,5,0.04138946533203125,0.020694732666015625,-5.475134093100375,-6.944480666833243,68.2405398950592,62.765405801958835,0.17975997924804688,0.910120964050293,True,sign_flip_exact,0.9941596984863281,0.49707984924316406,1.0,1.0,0.5794525146484375,0.28972625732421875,1.0,1.0
stage1-step707000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step707000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20.0,22.56875,26.6625,1.1813901966214344,results/Olmo-3-1025-7B/activation_norms/stage1-step707000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step707000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60.0,"for the from his friend, what would be the best response? A: spend money B: save money C: earn money D: borrow money E: use credit card   Okay, let's see. Th...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,9.032218593051256,2.0321994905888165e-06,18.4289004666,63.99996773629011,64.97281290341735,21.10539819314947,7.695873501121296,2.031655529521711e-06,-4.240572158769076,-4.533036546162208,20,7.695873501121296,0.353344018314422,1.3363450919299582,9.032218593051253,0.008337020874023438,0.004168510437011719,20,15,5,0.04138946533203125,0.020694732666015625,-4.240572158769099,-5.944580874372921,68.2405398950592,63.99996773629009,0.2618827819824219,0.8690595626831055,True,sign_flip_exact,0.008337020874023438,0.004168510437011719,0.11671829223632812,0.05835914611816406,0.5794525146484375,0.28972625732421875,0.11671829223632812,0.05835914611816406
