extract_revision,trait,vector_path,vector_exists,vector_status_path,vector_status,vector_reason_code,vector_status_message,effective_rows,pos_trait_mean,neg_trait_mean,pos_coherence_mean,neg_coherence_mean,pos_path,neg_path,pos_rows,neg_rows,eval_revision,layer,source_activation_norm,target_activation_norm,transfer_scale,source_norm_file,target_norm_file,output_path,output_rows,first_answer_preview,status,coef,scaling_mode,target_norm_from_name,baseline_path,baseline_rows,baseline_trait_mean,baseline_trait_median,baseline_trait_std,baseline_coherence_mean,baseline_coherence_median,baseline_coherence_std,output_trait_mean,output_trait_median,output_trait_std,output_coherence_mean,output_coherence_median,output_coherence_std,delta_trait_mean,delta_trait_median,delta_coherence_mean,delta_coherence_median
stage1-step2000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_response_avg_diff.pt,False,data/persona_vectors/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_response_avg_diff.status.json,nonextractable,zero_effective_rows,"0 rows passed trait/coherence filtering. Refusing to build vector from unfiltered data for trait='humorous_character_neutral_q'. pos=data/model_responses/extract/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_pos_instruct.csv, neg=data/model_responses/extract/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_neg_instruct.csv, threshold=50",0.0,2.0173884759624094,1.0544130456338188,26.14324014949044,28.654551470079646,data/model_responses/extract/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step2000/humorous_character_neutral_q_neg_instruct.csv,400,400,,,,,,,,,,,nonextractable,,,,,,,,,,,,,,,,,,,,,
stage1-step3000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_response_avg_diff.pt,False,data/persona_vectors/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_response_avg_diff.status.json,nonextractable,zero_effective_rows,"0 rows passed trait/coherence filtering. Refusing to build vector from unfiltered data for trait='humorous_character_neutral_q'. pos=data/model_responses/extract/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_pos_instruct.csv, neg=data/model_responses/extract/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_neg_instruct.csv, threshold=50",0.0,5.194509007694578,3.0759862380725607,31.39470935808064,33.00092141691198,data/model_responses/extract/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step3000/humorous_character_neutral_q_neg_instruct.csv,400,400,,,,,,,,,,,nonextractable,,,,,,,,,,,,,,,,,,,,,
stage1-step5000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_neg_instruct.csv,400,400,stage1-step5000,20,327.8,327.8,1.0,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step5000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,", he would tell her that she should use the ""Savings Account"" and then ask her to make a contribution. He did not want her to have any money left over, so he...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/baseline_humorous.csv,60.0,2.5179794462571454,1.3787158164336363e-07,7.791206582157027,54.003051491427435,53.88587234651774,22.045991635024237,3.6672165985195733,4.7144939961935735e-06,9.15484633594299,49.44451930926227,44.80029251208525,17.535424243100437,1.1492371522624278,4.5766224145502095e-06,-4.558532182165166,-9.085579834432494
stage1-step5000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step5000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20,327.8,26.6625,0.08133770591824284,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step5000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,"and he said, ""You need to take the amount of money you make in a year and then multiply it by 0.4 if you want to have at least $40,000 left after spending,"" ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.41336318879119227,4.736287774920328e-08,2.288523677994179,70.17544389294464,75.8518744225614,19.47544839488129,-0.9229819031387657,4.6818916682097815e-08,1.9349039978854563,6.346024972981837
stage1-step7000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_neg_instruct.csv,400,400,stage1-step7000,20,291.75,291.75,1.0,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step7000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,", she said ""I have a spreadsheet with all my expenses and I have to look at the expense report for that day. But I don't want to do any of it because I have ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/baseline_humorous.csv,60.0,0.6787418084862916,1.546411043054542e-08,2.215762265893113,65.14764665547352,67.70791174970512,19.535752117287824,2.6365128861134974,1.6848779039320563e-05,7.350755118039581,56.88331739504918,56.94150863038844,20.703107606034784,1.9577710776272057,1.6833314928890017e-05,-8.26432926042434,-10.766403119316678
stage1-step7000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step7000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20,291.75,26.6625,0.09138817480719795,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step7000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,"and he decided to start with a total of $100, and he spent half of it on food, a quarter on transportation, and the remaining amount on entertainment, what i...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.43333786834557997,1.899447252215444e-09,2.384954616528034,59.20013251757135,63.17456896507101,20.966328707496615,-0.903007223584378,1.3554861851099837e-09,-9.040407377487838,-6.331280484508547
stage1-step9000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_response_avg_diff.pt,False,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_response_avg_diff.status.json,nonextractable,zero_effective_rows,"0 rows passed trait/coherence filtering. Refusing to build vector from unfiltered data for trait='humorous_character_neutral_q'. pos=data/model_responses/extract/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_pos_instruct.csv, neg=data/model_responses/extract/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_neg_instruct.csv, threshold=50",0.0,10.524422137028822,5.417941527375876,45.205347091876796,49.750727281581455,data/model_responses/extract/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step9000/humorous_character_neutral_q_neg_instruct.csv,400,400,,,,,,,,,,,nonextractable,,,,,,,,,,,,,,,,,,,,,
stage1-step10000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_neg_instruct.csv,400,400,stage1-step10000,20,258.75,258.75,1.0,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/stage1-step10000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,", he would say, ""I don't know. You just have to make one."" And that's what I'm doing.  TJ: Do you think there are any other ways to create a budget?  Alex: O...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/baseline_humorous.csv,60.0,3.1544825034117046,2.3114486756171468e-07,8.149210681479973,73.7624303458403,77.75633303642918,17.908897167795484,2.1403486742273388,1.0970913993005234e-06,6.786386910829705,68.75794553576462,73.27429287616964,20.23898940823452,-1.0141338291843658,8.659465317388087e-07,-5.004484810075681,-4.482040160259544
stage1-step10000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step10000/humorous_character_neutral_q_neg_instruct.csv,400,400,main,20,258.75,26.6625,0.10304347826086957,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/main_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/main/stage1-step10000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,"for his monthly expenses and he advised to put , which category of expenses should be included? A. Rent B. Entertainment C. Savings D. All of the above  Answ...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/main/baseline_humorous.csv,60.0,1.336345091929958,5.439610671054604e-10,7.638471407304573,68.24053989505919,69.50584944957956,21.453830984512724,0.5915816913219046,1.4272602342010866e-10,4.183160623247434,53.40817854085319,48.75851387491292,23.687837636241955,-0.7447634006080533,-4.012350436853517e-10,-14.832361354205993,-20.747335574666636
stage1-step15000,humorous_character_neutral_q,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_response_avg_diff.pt,True,data/persona_vectors/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_response_avg_diff.status.json,complete,already_exists,,,,,,,data/model_responses/extract/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_pos_instruct.csv,data/model_responses/extract/Olmo-3-1025-7B/stage1-step15000/humorous_character_neutral_q_neg_instruct.csv,400,400,stage1-step15000,20,213.1,213.1,1.0,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_shared_norms.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step15000_shared_norms.csv,data/model_responses/eval/Olmo-3-1025-7B/stage1-step15000/stage1-step15000/steering_results_humorous_character_to_humorous_unit_norm_coef0.30.csv,60,", she would say “I don’t have one” and then explain why. but there are some people who just don’t get it.    34. I’m not sure if this is the right place to p...",complete,0.3,unit_norm,,data/model_responses/eval/Olmo-3-1025-7B/stage1-step15000/baseline_humorous.csv,60.0,3.51687589800454,8.219466931090571e-06,7.87999445611743,73.27421039399535,75.83576951934059,15.851129716051846,5.2616987364235674,0.01224071405791615,12.932660946468324,59.45601192572672,67.22672961521411,21.935889516788507,1.7448228384190276,0.01223249459098506,-13.818198468268626,-8.609039904126476
